----------------------------------------------------------------------------
libFM
  Version: 1.4.4
  Author:  Steffen Rendle, srendle@libfm.org
  WWW:     http://www.libfm.org/
This program comes with ABSOLUTELY NO WARRANTY; for details see license.txt.
This is free software, and you are welcome to redistribute it under certain
conditions; for details see license.txt.
----------------------------------------------------------------------------
Loading train...	
has x = 0
has xt = 1
num_rows=3066608	num_values=52132336	num_features=754909	min_target=5	max_target=150
Loading test... 	
has x = 0
has xt = 1
num_rows=1511174	num_values=25689958	num_features=754909	min_target=5	max_target=150
#relations: 0
Loading meta data...	
#Iter=  0	Train=66.3095	Test=66.3108
#Iter=  1	Train=32.537	Test=45.5671
#Iter=  2	Train=16.3183	Test=33.5929
#Iter=  3	Train=11.5607	Test=26.6334
#Iter=  4	Train=9.73284	Test=22.3917
#Iter=  5	Train=9.13525	Test=19.6426
#Iter=  6	Train=8.93789	Test=17.7587
#Iter=  7	Train=8.8609	Test=16.4133
#Iter=  8	Train=8.82315	Test=15.4192
#Iter=  9	Train=8.79882	Test=14.6648
#Iter= 10	Train=8.78036	Test=14.0772
#Iter= 11	Train=8.76138	Test=13.6116
#Iter= 12	Train=8.74969	Test=13.2366
#Iter= 13	Train=8.73921	Test=12.9308
#Iter= 14	Train=8.72652	Test=12.679
#Iter= 15	Train=8.71848	Test=12.468
#Iter= 16	Train=8.71601	Test=12.2897
#Iter= 17	Train=8.70929	Test=12.1384
#Iter= 18	Train=8.70573	Test=12.0081
#Iter= 19	Train=8.70255	Test=11.8964
#Iter= 20	Train=8.69554	Test=11.7983
#Iter= 21	Train=8.69485	Test=11.7124
#Iter= 22	Train=8.69526	Test=11.6363
#Iter= 23	Train=8.69127	Test=11.5697
#Iter= 24	Train=8.68732	Test=11.5104
#Iter= 25	Train=8.68442	Test=11.4578
#Iter= 26	Train=8.68155	Test=11.4104
#Iter= 27	Train=8.67886	Test=11.3676
#Iter= 28	Train=8.67476	Test=11.3292
#Iter= 29	Train=8.67947	Test=11.2945
#Iter= 30	Train=8.68258	Test=11.2628
#Iter= 31	Train=8.67673	Test=11.2341
#Iter= 32	Train=8.67324	Test=11.2079
#Iter= 33	Train=8.67776	Test=11.1833
#Iter= 34	Train=8.67424	Test=11.1608
#Iter= 35	Train=8.67481	Test=11.1402
#Iter= 36	Train=8.66932	Test=11.1216
#Iter= 37	Train=8.67174	Test=11.1041
#Iter= 38	Train=8.67547	Test=11.0879
#Iter= 39	Train=8.67221	Test=11.0731
#Iter= 40	Train=8.67375	Test=11.0593
#Iter= 41	Train=8.67065	Test=11.0463
#Iter= 42	Train=8.67352	Test=11.0341
#Iter= 43	Train=8.67042	Test=11.0228
#Iter= 44	Train=8.67373	Test=11.0121
#Iter= 45	Train=8.66883	Test=11.0019
#Iter= 46	Train=8.67061	Test=10.9927
#Iter= 47	Train=8.66964	Test=10.9841
#Iter= 48	Train=8.67133	Test=10.976
#Iter= 49	Train=8.67098	Test=10.9682
#Iter= 50	Train=8.67077	Test=10.9609
#Iter= 51	Train=8.66801	Test=10.9541
#Iter= 52	Train=8.66885	Test=10.9473
#Iter= 53	Train=8.67056	Test=10.9409
#Iter= 54	Train=8.6712	Test=10.935
#Iter= 55	Train=8.67174	Test=10.9296
#Iter= 56	Train=8.67039	Test=10.9241
#Iter= 57	Train=8.66653	Test=10.9191
#Iter= 58	Train=8.66644	Test=10.9144
#Iter= 59	Train=8.67015	Test=10.9099
#Iter= 60	Train=8.66683	Test=10.9056
#Iter= 61	Train=8.67048	Test=10.9013
#Iter= 62	Train=8.66874	Test=10.8971
#Iter= 63	Train=8.67066	Test=10.8933
#Iter= 64	Train=8.66718	Test=10.8898
#Iter= 65	Train=8.66882	Test=10.8864
#Iter= 66	Train=8.66947	Test=10.8831
#Iter= 67	Train=8.66729	Test=10.88
#Iter= 68	Train=8.67009	Test=10.877
#Iter= 69	Train=8.66853	Test=10.8741
#Iter= 70	Train=8.66654	Test=10.8713
#Iter= 71	Train=8.66551	Test=10.8687
#Iter= 72	Train=8.66883	Test=10.866
#Iter= 73	Train=8.66693	Test=10.8634
#Iter= 74	Train=8.66867	Test=10.8609
#Iter= 75	Train=8.66892	Test=10.8586
#Iter= 76	Train=8.66771	Test=10.8564
#Iter= 77	Train=8.66598	Test=10.8542
#Iter= 78	Train=8.67031	Test=10.8522
#Iter= 79	Train=8.67117	Test=10.85
#Iter= 80	Train=8.66788	Test=10.8482
#Iter= 81	Train=8.66706	Test=10.8462
#Iter= 82	Train=8.66733	Test=10.8444
#Iter= 83	Train=8.66693	Test=10.8428
#Iter= 84	Train=8.6683	Test=10.8411
#Iter= 85	Train=8.66623	Test=10.8394
#Iter= 86	Train=8.66891	Test=10.838
#Iter= 87	Train=8.66776	Test=10.8364
#Iter= 88	Train=8.66341	Test=10.835
#Iter= 89	Train=8.66545	Test=10.8335
#Iter= 90	Train=8.66463	Test=10.832
#Iter= 91	Train=8.66263	Test=10.8307
#Iter= 92	Train=8.66782	Test=10.8296
#Iter= 93	Train=8.66829	Test=10.8282
#Iter= 94	Train=8.66446	Test=10.8272
#Iter= 95	Train=8.66449	Test=10.826
#Iter= 96	Train=8.66578	Test=10.8249
#Iter= 97	Train=8.6633	Test=10.8238
#Iter= 98	Train=8.66734	Test=10.8228
#Iter= 99	Train=8.66394	Test=10.8217
#Iter=100	Train=8.6685	Test=10.8208
#Iter=101	Train=8.66345	Test=10.82
#Iter=102	Train=8.6637	Test=10.8192
#Iter=103	Train=8.66225	Test=10.8183
#Iter=104	Train=8.66178	Test=10.8174
#Iter=105	Train=8.66376	Test=10.8165
#Iter=106	Train=8.66901	Test=10.8156
#Iter=107	Train=8.66681	Test=10.8149
#Iter=108	Train=8.66861	Test=10.8142
#Iter=109	Train=8.67106	Test=10.8133
#Iter=110	Train=8.66971	Test=10.8126
#Iter=111	Train=8.66969	Test=10.8118
#Iter=112	Train=8.66951	Test=10.8111
#Iter=113	Train=8.66857	Test=10.8104
#Iter=114	Train=8.6673	Test=10.8098
#Iter=115	Train=8.66733	Test=10.809
#Iter=116	Train=8.66739	Test=10.8084
#Iter=117	Train=8.66667	Test=10.8077
#Iter=118	Train=8.67128	Test=10.8071
#Iter=119	Train=8.67011	Test=10.8064
#Iter=120	Train=8.6717	Test=10.8058
#Iter=121	Train=8.66916	Test=10.8053
#Iter=122	Train=8.66744	Test=10.8048
#Iter=123	Train=8.66817	Test=10.8042
#Iter=124	Train=8.669	Test=10.8036
#Iter=125	Train=8.6697	Test=10.803
#Iter=126	Train=8.66621	Test=10.8024
#Iter=127	Train=8.66812	Test=10.8019
#Iter=128	Train=8.66652	Test=10.8013
#Iter=129	Train=8.66564	Test=10.8009
#Iter=130	Train=8.6648	Test=10.8004
#Iter=131	Train=8.66503	Test=10.7998
#Iter=132	Train=8.66839	Test=10.7993
#Iter=133	Train=8.66323	Test=10.7989
#Iter=134	Train=8.66355	Test=10.7985
#Iter=135	Train=8.66531	Test=10.798
#Iter=136	Train=8.66484	Test=10.7975
#Iter=137	Train=8.6653	Test=10.797
#Iter=138	Train=8.66815	Test=10.7965
#Iter=139	Train=8.66772	Test=10.7962
#Iter=140	Train=8.66487	Test=10.7958
#Iter=141	Train=8.66411	Test=10.7955
#Iter=142	Train=8.66528	Test=10.7949
#Iter=143	Train=8.66612	Test=10.7946
#Iter=144	Train=8.66852	Test=10.7941
#Iter=145	Train=8.66697	Test=10.7937
#Iter=146	Train=8.66667	Test=10.7934
#Iter=147	Train=8.66949	Test=10.7931
#Iter=148	Train=8.66814	Test=10.7927
#Iter=149	Train=8.66964	Test=10.7924
#Iter=150	Train=8.66725	Test=10.792
#Iter=151	Train=8.66614	Test=10.7916
#Iter=152	Train=8.66823	Test=10.7914
#Iter=153	Train=8.66595	Test=10.7912
#Iter=154	Train=8.67006	Test=10.7909
#Iter=155	Train=8.66613	Test=10.7905
#Iter=156	Train=8.6671	Test=10.7902
#Iter=157	Train=8.66415	Test=10.7899
#Iter=158	Train=8.66508	Test=10.7896
#Iter=159	Train=8.66707	Test=10.7893
#Iter=160	Train=8.66549	Test=10.789
#Iter=161	Train=8.66769	Test=10.7887
#Iter=162	Train=8.66694	Test=10.7884
#Iter=163	Train=8.66635	Test=10.7882
#Iter=164	Train=8.66805	Test=10.7879
#Iter=165	Train=8.66976	Test=10.7876
#Iter=166	Train=8.66699	Test=10.7874
#Iter=167	Train=8.66997	Test=10.7871
#Iter=168	Train=8.66758	Test=10.7868
#Iter=169	Train=8.66648	Test=10.7866
#Iter=170	Train=8.666	Test=10.7864
#Iter=171	Train=8.66718	Test=10.7863
#Iter=172	Train=8.66324	Test=10.786
#Iter=173	Train=8.6629	Test=10.7859
#Iter=174	Train=8.6648	Test=10.7857
#Iter=175	Train=8.66321	Test=10.7856
#Iter=176	Train=8.66414	Test=10.7853
#Iter=177	Train=8.66768	Test=10.7851
#Iter=178	Train=8.66538	Test=10.7849
#Iter=179	Train=8.66401	Test=10.7847
#Iter=180	Train=8.66349	Test=10.7845
#Iter=181	Train=8.66445	Test=10.7843
#Iter=182	Train=8.66717	Test=10.784
#Iter=183	Train=8.66629	Test=10.7838
#Iter=184	Train=8.66896	Test=10.7836
#Iter=185	Train=8.67211	Test=10.7834
#Iter=186	Train=8.66499	Test=10.7831
#Iter=187	Train=8.66251	Test=10.7828
#Iter=188	Train=8.66621	Test=10.7825
#Iter=189	Train=8.66601	Test=10.7823
#Iter=190	Train=8.66729	Test=10.782
#Iter=191	Train=8.66773	Test=10.7818
#Iter=192	Train=8.66343	Test=10.7816
#Iter=193	Train=8.66232	Test=10.7813
#Iter=194	Train=8.66895	Test=10.7811
#Iter=195	Train=8.66427	Test=10.7809
#Iter=196	Train=8.66437	Test=10.7807
