----------------------------------------------------------------------------
libFM
  Version: 1.4.4
  Author:  Steffen Rendle, srendle@libfm.org
  WWW:     http://www.libfm.org/
This program comes with ABSOLUTELY NO WARRANTY; for details see license.txt.
This is free software, and you are welcome to redistribute it under certain
conditions; for details see license.txt.
----------------------------------------------------------------------------
Loading train...	
has x = 0
has xt = 1
num_rows=3713828	num_values=7427656	num_features=754894	min_target=5	max_target=150
Loading test... 	
has x = 0
has xt = 1
num_rows=1829200	num_values=3658400	num_features=754894	min_target=5	max_target=150
#relations: 0
Loading meta data...	
#Iter=  0	Train=10.6664	Test=10.7071
#Iter=  1	Train=10.6527	Test=10.7001
#Iter=  2	Train=10.6526	Test=10.6978
#Iter=  3	Train=10.6515	Test=10.6964
#Iter=  4	Train=10.6519	Test=10.6957
#Iter=  5	Train=10.6517	Test=10.6951
#Iter=  6	Train=10.6513	Test=10.6947
#Iter=  7	Train=10.6506	Test=10.6943
#Iter=  8	Train=10.6504	Test=10.694
#Iter=  9	Train=10.6504	Test=10.6937
#Iter= 10	Train=10.6503	Test=10.6935
#Iter= 11	Train=10.65	Test=10.6933
#Iter= 12	Train=10.6495	Test=10.6931
#Iter= 13	Train=10.6492	Test=10.6929
#Iter= 14	Train=10.6492	Test=10.6928
#Iter= 15	Train=10.6484	Test=10.6926
#Iter= 16	Train=10.648	Test=10.6924
#Iter= 17	Train=10.6478	Test=10.6922
#Iter= 18	Train=10.6475	Test=10.692
#Iter= 19	Train=10.6468	Test=10.6918
#Iter= 20	Train=10.6466	Test=10.6916
#Iter= 21	Train=10.6462	Test=10.6914
#Iter= 22	Train=10.6463	Test=10.6912
#Iter= 23	Train=10.6461	Test=10.6911
#Iter= 24	Train=10.645	Test=10.6909
#Iter= 25	Train=10.6448	Test=10.6907
#Iter= 26	Train=10.6449	Test=10.6905
#Iter= 27	Train=10.6442	Test=10.6903
#Iter= 28	Train=10.6441	Test=10.6902
#Iter= 29	Train=10.6433	Test=10.69
#Iter= 30	Train=10.643	Test=10.6898
#Iter= 31	Train=10.6429	Test=10.6896
#Iter= 32	Train=10.6422	Test=10.6894
#Iter= 33	Train=10.6423	Test=10.6893
#Iter= 34	Train=10.6417	Test=10.6891
#Iter= 35	Train=10.6412	Test=10.6889
#Iter= 36	Train=10.6404	Test=10.6887
#Iter= 37	Train=10.64	Test=10.6885
#Iter= 38	Train=10.6397	Test=10.6883
#Iter= 39	Train=10.6395	Test=10.6882
#Iter= 40	Train=10.6391	Test=10.688
#Iter= 41	Train=10.6385	Test=10.6878
#Iter= 42	Train=10.6378	Test=10.6876
#Iter= 43	Train=10.6376	Test=10.6874
#Iter= 44	Train=10.6367	Test=10.6872
#Iter= 45	Train=10.6368	Test=10.687
#Iter= 46	Train=10.6357	Test=10.6868
#Iter= 47	Train=10.6353	Test=10.6866
#Iter= 48	Train=10.6348	Test=10.6864
#Iter= 49	Train=10.6344	Test=10.6862
#Iter= 50	Train=10.6337	Test=10.6859
#Iter= 51	Train=10.6336	Test=10.6857
#Iter= 52	Train=10.6329	Test=10.6855
#Iter= 53	Train=10.6319	Test=10.6853
#Iter= 54	Train=10.6322	Test=10.6851
#Iter= 55	Train=10.6311	Test=10.6849
#Iter= 56	Train=10.6307	Test=10.6847
#Iter= 57	Train=10.6299	Test=10.6844
#Iter= 58	Train=10.6294	Test=10.6842
#Iter= 59	Train=10.6286	Test=10.684
#Iter= 60	Train=10.6279	Test=10.6838
#Iter= 61	Train=10.6272	Test=10.6835
#Iter= 62	Train=10.6268	Test=10.6833
#Iter= 63	Train=10.6264	Test=10.683
#Iter= 64	Train=10.6257	Test=10.6828
#Iter= 65	Train=10.6256	Test=10.6826
#Iter= 66	Train=10.6244	Test=10.6823
#Iter= 67	Train=10.6236	Test=10.6821
#Iter= 68	Train=10.623	Test=10.6818
#Iter= 69	Train=10.623	Test=10.6816
#Iter= 70	Train=10.6216	Test=10.6813
#Iter= 71	Train=10.6211	Test=10.6811
#Iter= 72	Train=10.6206	Test=10.6808
#Iter= 73	Train=10.6198	Test=10.6806
#Iter= 74	Train=10.6193	Test=10.6803
#Iter= 75	Train=10.6186	Test=10.6801
#Iter= 76	Train=10.6182	Test=10.6798
#Iter= 77	Train=10.6177	Test=10.6795
#Iter= 78	Train=10.6161	Test=10.6793
#Iter= 79	Train=10.6157	Test=10.679
#Iter= 80	Train=10.6152	Test=10.6787
#Iter= 81	Train=10.6143	Test=10.6784
#Iter= 82	Train=10.6134	Test=10.6781
#Iter= 83	Train=10.6124	Test=10.6779
#Iter= 84	Train=10.6109	Test=10.6776
#Iter= 85	Train=10.6108	Test=10.6773
#Iter= 86	Train=10.6104	Test=10.677
#Iter= 87	Train=10.6082	Test=10.6767
#Iter= 88	Train=10.6078	Test=10.6764
#Iter= 89	Train=10.607	Test=10.676
#Iter= 90	Train=10.6059	Test=10.6757
#Iter= 91	Train=10.6048	Test=10.6754
#Iter= 92	Train=10.6045	Test=10.6751
#Iter= 93	Train=10.6027	Test=10.6748
#Iter= 94	Train=10.6022	Test=10.6745
#Iter= 95	Train=10.6003	Test=10.6741
#Iter= 96	Train=10.599	Test=10.6738
#Iter= 97	Train=10.5981	Test=10.6734
#Iter= 98	Train=10.5969	Test=10.6731
#Iter= 99	Train=10.596	Test=10.6727
#Iter=100	Train=10.595	Test=10.6724
#Iter=101	Train=10.5938	Test=10.672
#Iter=102	Train=10.5923	Test=10.6716
#Iter=103	Train=10.5907	Test=10.6713
#Iter=104	Train=10.5896	Test=10.6709
#Iter=105	Train=10.5887	Test=10.6705
#Iter=106	Train=10.5863	Test=10.6701
#Iter=107	Train=10.586	Test=10.6697
#Iter=108	Train=10.5836	Test=10.6693
#Iter=109	Train=10.5824	Test=10.6689
#Iter=110	Train=10.5811	Test=10.6685
#Iter=111	Train=10.5796	Test=10.668
#Iter=112	Train=10.5787	Test=10.6676
#Iter=113	Train=10.5769	Test=10.6672
#Iter=114	Train=10.5746	Test=10.6667
#Iter=115	Train=10.5732	Test=10.6663
#Iter=116	Train=10.5711	Test=10.6658
#Iter=117	Train=10.5695	Test=10.6654
#Iter=118	Train=10.5674	Test=10.6649
#Iter=119	Train=10.5653	Test=10.6644
#Iter=120	Train=10.5638	Test=10.6639
#Iter=121	Train=10.5617	Test=10.6634
#Iter=122	Train=10.5588	Test=10.6629
#Iter=123	Train=10.5567	Test=10.6624
#Iter=124	Train=10.5545	Test=10.6619
#Iter=125	Train=10.5508	Test=10.6613
#Iter=126	Train=10.5491	Test=10.6607
#Iter=127	Train=10.5471	Test=10.6602
#Iter=128	Train=10.5451	Test=10.6596
#Iter=129	Train=10.5412	Test=10.659
#Iter=130	Train=10.5383	Test=10.6584
#Iter=131	Train=10.5356	Test=10.6577
#Iter=132	Train=10.5322	Test=10.6571
#Iter=133	Train=10.5288	Test=10.6565
#Iter=134	Train=10.5268	Test=10.6558
#Iter=135	Train=10.5228	Test=10.6551
#Iter=136	Train=10.5199	Test=10.6544
#Iter=137	Train=10.5157	Test=10.6537
#Iter=138	Train=10.513	Test=10.653
#Iter=139	Train=10.5073	Test=10.6522
#Iter=140	Train=10.504	Test=10.6515
#Iter=141	Train=10.5005	Test=10.6507
#Iter=142	Train=10.4964	Test=10.6499
#Iter=143	Train=10.4906	Test=10.6491
#Iter=144	Train=10.4852	Test=10.6482
#Iter=145	Train=10.4803	Test=10.6473
#Iter=146	Train=10.475	Test=10.6464
#Iter=147	Train=10.4685	Test=10.6455
#Iter=148	Train=10.4626	Test=10.6446
#Iter=149	Train=10.4577	Test=10.6436
#Iter=150	Train=10.4482	Test=10.6426
#Iter=151	Train=10.4428	Test=10.6415
#Iter=152	Train=10.4346	Test=10.6404
#Iter=153	Train=10.4256	Test=10.6393
#Iter=154	Train=10.417	Test=10.6381
#Iter=155	Train=10.4068	Test=10.6369
#Iter=156	Train=10.3977	Test=10.6356
#Iter=157	Train=10.3874	Test=10.6343
#Iter=158	Train=10.3749	Test=10.6329
#Iter=159	Train=10.3635	Test=10.6315
#Iter=160	Train=10.35	Test=10.63
#Iter=161	Train=10.3346	Test=10.6284
#Iter=162	Train=10.3188	Test=10.6268
#Iter=163	Train=10.3013	Test=10.6251
#Iter=164	Train=10.2832	Test=10.6232
#Iter=165	Train=10.2617	Test=10.6213
#Iter=166	Train=10.2376	Test=10.6193
#Iter=167	Train=10.2151	Test=10.6171
#Iter=168	Train=10.1874	Test=10.6148
#Iter=169	Train=10.1576	Test=10.6124
#Iter=170	Train=10.1248	Test=10.6097
#Iter=171	Train=10.0922	Test=10.607
#Iter=172	Train=10.0504	Test=10.604
#Iter=173	Train=10.0097	Test=10.6008
#Iter=174	Train=9.96336	Test=10.5974
#Iter=175	Train=9.9163	Test=10.5937
#Iter=176	Train=9.86429	Test=10.5897
#Iter=177	Train=9.81152	Test=10.5855
#Iter=178	Train=9.75844	Test=10.5809
#Iter=179	Train=9.70519	Test=10.5761
#Iter=180	Train=9.6538	Test=10.5711
#Iter=181	Train=9.60469	Test=10.5657
#Iter=182	Train=9.55939	Test=10.5601
#Iter=183	Train=9.51807	Test=10.5544
#Iter=184	Train=9.48168	Test=10.5484
#Iter=185	Train=9.45263	Test=10.5423
#Iter=186	Train=9.4293	Test=10.5362
#Iter=187	Train=9.40899	Test=10.5299
#Iter=188	Train=9.39234	Test=10.5236
#Iter=189	Train=9.38109	Test=10.5174
#Iter=190	Train=9.36995	Test=10.5111
#Iter=191	Train=9.36062	Test=10.5049
#Iter=192	Train=9.35364	Test=10.4987
#Iter=193	Train=9.35121	Test=10.4925
#Iter=194	Train=9.34762	Test=10.4865
#Iter=195	Train=9.34472	Test=10.4805
#Iter=196	Train=9.34203	Test=10.4746
